gpkg_standardized,gpkg,gpkg_n_features,gpkg_xmin,gpkg_ymin,gpkg_xmax,gpkg_ymax
gpkg-standardized/EA_2002-08-19.gpkg,gpkg/EA_2002-08-19.gpkg,254,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-08-26.gpkg,gpkg/EA_2002-08-26.gpkg,274,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-09-02.gpkg,gpkg/EA_2002-09-02.gpkg,231,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-09-09.gpkg,gpkg/EA_2002-09-09.gpkg,210,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-09-16.gpkg,gpkg/EA_2002-09-16.gpkg,266,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-09-23.gpkg,gpkg/EA_2002-09-23.gpkg,252,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-09-30.gpkg,gpkg/EA_2002-09-30.gpkg,227,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-10-07.gpkg,gpkg/EA_2002-10-07.gpkg,233,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-10-14.gpkg,gpkg/EA_2002-10-14.gpkg,259,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-10-21.gpkg,gpkg/EA_2002-10-21.gpkg,279,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-10-28.gpkg,gpkg/EA_2002-10-28.gpkg,288,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-11-04.gpkg,gpkg/EA_2002-11-04.gpkg,282,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-11-11.gpkg,gpkg/EA_2002-11-11.gpkg,303,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
