gpkg,gpkg_n_features,gpkg_xmin,gpkg_ymin,gpkg_xmax,gpkg_ymax,gpkg_size
gpkg/EA_1972-10-25.gpkg,256,-294124.09375,2704501,1856542.625,5028246.5,1159168
gpkg/EA_1972-11-01.gpkg,312,-294124.09375,2704501,1856542.625,5028246.5,1236992
gpkg/EA_1973-06-20.gpkg,208,-294124.09375,2704501,1856542.625,5028246.5,1105920
gpkg/EA_1973-06-27.gpkg,190,-294124.09375,2704501,1856542.625,5028246.5,1060864
gpkg/EA_1973-07-05.gpkg,199,-294124.09375,2704501,1856542.625,5028246.5,1069056
gpkg/EA_1973-07-11.gpkg,214,-294124.09375,2704501,1856542.625,5028246.5,1089536
gpkg/EA_1973-07-18.gpkg,209,-294124.09375,2704501,1856542.625,5028246.5,1089536
gpkg/EA_1973-07-25.gpkg,238,-294124.09375,2704501,1856542.625,5028246.5,1114112
gpkg/EA_1973-08-01.gpkg,271,-294124.09375,2704501,1856542.625,5028246.5,1163264
gpkg/EA_1973-08-08.gpkg,255,-294124.09375,2704501,1856542.625,5028246.5,1118208
gpkg/EA_1973-08-15.gpkg,233,-294124.09375,2704501,1856542.625,5028246.5,1134592
gpkg/EA_1973-08-22.gpkg,215,-294124.09375,2704501,1856542.625,5028246.5,1093632
gpkg/EA_1973-08-29.gpkg,211,-294124.09375,2704501,1856542.625,5028246.5,1114112
gpkg/EA_1973-09-05.gpkg,230,-294124.09375,2704501,1856542.625,5028246.5,1118208
gpkg/EA_1973-09-12.gpkg,217,-294124.09375,2704501,1856542.625,5028246.5,1114112
gpkg/EA_1973-09-19.gpkg,192,-294124.09375,2704501,1856542.625,5028246.5,1085440
gpkg/EA_1973-09-26.gpkg,185,-294124.09375,2704501,1856542.625,5028246.5,1077248
gpkg/EA_1973-10-03.gpkg,194,-294124.09375,2704501,1856542.625,5028246.5,1085440
gpkg/EA_1973-10-10.gpkg,177,-294124.09375,2704501,1856542.625,5028246.5,1064960
gpkg/EA_1973-10-17.gpkg,193,-294124.09375,2704501,1856542.625,5028246.5,1060864
gpkg/EA_1973-10-24.gpkg,221,-294124.09375,2704501,1856542.625,5028246.5,1105920
gpkg/EA_1973-10-31.gpkg,225,-294124.09375,2704501,1856542.625,5028246.5,1105920
gpkg/EA_1974-06-19.gpkg,225,-294124.09375,2704501,1856542.625,5028246.5,1114112
gpkg/EA_1974-06-26.gpkg,222,-294124.09375,2704501,1856542.625,5028246.5,1101824
gpkg/EA_1974-07-10.gpkg,287,-294124.09375,2704501,1856542.625,5028246.5,1167360
gpkg/EA_1974-07-17.gpkg,221,-294124.09375,2704501,1856542.625,5028246.5,1105920
gpkg/EA_1974-07-24.gpkg,224,-294124.09375,2704501,1856542.625,5028246.5,1114112
gpkg/EA_1974-07-31.gpkg,260,-294124.09375,2704501,1856542.625,5028246.5,1155072
gpkg/EA_1974-08-07.gpkg,368,-294124.09375,2704501,1856542.625,5028246.5,1277952
gpkg/EA_1974-08-14.gpkg,296,-294124.09375,2704501,1856542.625,5028246.5,1216512
gpkg/EA_1974-08-21.gpkg,273,-294124.09375,2704501,1856542.625,5028246.5,1134592
gpkg/EA_1974-08-28.gpkg,268,-294124.09375,2704501,1856542.625,5028246.5,1150976
gpkg/EA_1974-09-04.gpkg,277,-294124.09375,2704501,1856542.625,5028246.5,1142784
gpkg/EA_1974-09-11.gpkg,215,-294124.09375,2704501,1856542.625,5028246.5,1097728
gpkg/EA_1974-09-18.gpkg,277,-294124.09375,2704501,1856542.625,5028246.5,1163264
gpkg/EA_1974-09-25.gpkg,223,-294124.09375,2704501,1856542.625,5028246.5,1105920
gpkg/EA_1974-10-02.gpkg,245,-294124.09375,2704501,1856542.625,5028246.5,1126400
gpkg/EA_1974-10-16.gpkg,302,-294124.09375,2704501,1856542.625,5028246.5,1183744
gpkg/EA_1974-10-23.gpkg,319,-294124.09375,2704501,1856542.625,5028246.5,1212416
gpkg/EA_1975-06-18.gpkg,313,-294124.09375,2704501,1856542.625,5028246.5,1204224
gpkg/EA_1975-06-25.gpkg,272,-294124.09375,2704501,1856542.625,5028246.5,1183744
gpkg/EA_1975-07-02.gpkg,257,-294124.09375,2704501,1856542.625,5028246.5,1130496
gpkg/EA_1975-07-09.gpkg,317,-294124.09375,2704501,1856542.625,5028246.5,1224704
gpkg/EA_1975-07-16.gpkg,242,-294124.09375,2704501,1856542.625,5028246.5,1122304
gpkg/EA_1975-07-23.gpkg,243,-294124.09375,2704501,1856542.625,5028246.5,1142784
gpkg/EA_1975-08-06.gpkg,252,-294124.09375,2704501,1856542.625,5028246.5,1159168
gpkg/EA_1975-08-13.gpkg,222,-294124.09375,2704501,1856542.625,5028246.5,1093632
gpkg/EA_1975-08-20.gpkg,253,-294124.09375,2704501,1856542.625,5028246.5,1142784
gpkg/EA_1975-08-27.gpkg,223,-294124.09375,2704501,1856542.625,5028246.5,1110016
gpkg/EA_1975-09-03.gpkg,180,-294124.09375,2704501,1856542.625,5028246.5,1064960
gpkg/EA_1975-09-10.gpkg,244,-294124.09375,2704501,1856542.625,5028246.5,1118208
gpkg/EA_1975-09-17.gpkg,205,-294124.09375,2704501,1856542.625,5028246.5,1077248
gpkg/EA_1975-09-24.gpkg,269,-294124.09375,2704501,1856542.625,5028246.5,1122304
gpkg/EA_1975-10-01.gpkg,240,-294124.09375,2704501,1856542.625,5028246.5,1126400
gpkg/EA_1975-10-08.gpkg,251,-294124.09375,2704501,1856542.625,5028246.5,1126400
